Artist Nationality,artist_iso3,Country of Subject: ,iso3,artist_name,Author WikiLink,title,Keep,Nudity,image_url,work_url,Location Reason,Author Background,birth_date,death_date,birth_place,source,tags,More info,is_local,filepath,,,,,,,,,,,,,,,,,,,,,,,,,,,,
American,USA,United States,USA,Mary Cassatt,https://en.wikipedia.org/wiki/Mary_Cassatt,Young Mother Nursing Her Child,Keep,Yes,"https://www.artic.edu/iiif/2/128c88c2-26a6-3ce4-830b-8578eb878cd9/full/843,/0/default.jpg","https://www.artic.edu/iiif/2/128c88c2-26a6-3ce4-830b-8578eb878cd9/full/843,/0/default.jpg",,,,,,chicago,,,FALSE,backend/images/USA/children_artwork/Young_Mother_Nursing_Her_Child.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scottish,GBR,United Kingdom,GBR,Sir Henry Raeburn,https://en.wikipedia.org/wiki/Henry_Raeburn,Eleanor Margaret Gibson-Carmichael,Keep,,"https://www.artic.edu/iiif/2/9a93001d-887a-f34d-ecc2-83240e2ad54c/full/843,/0/default.jpg","https://www.artic.edu/iiif/2/9a93001d-887a-f34d-ecc2-83240e2ad54c/full/843,/0/default.jpg",,,,,,chicago,,,FALSE,backend/images/GBR/children_artwork/Eleanor_Margaret_Gibson-Carmichael.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,
English,GBR,United Kingdom,GBR,Emily Mary Osborn,https://en.wikipedia.org/wiki/Emily_Mary_Osborn,Mrs. Sturgis and Children,Keep,,"https://www.artic.edu/iiif/2/b2339068-ad1b-0df8-25fb-4ded3e1fb4e1/full/843,/0/default.jpg","https://www.artic.edu/iiif/2/b2339068-ad1b-0df8-25fb-4ded3e1fb4e1/full/843,/0/default.jpg",,,,,,chicago,,,FALSE,backend/images/GBR/children_artwork/Mrs_Sturgis_and_Children.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,
American,USA,United States,USA,Joshua Johnson,https://en.wikipedia.org/wiki/Joshua_Johnson_(painter),Elizabeth Grant Bankson Beatty (Mrs. James Beatty) and Her Daughter Susan,Keep,,"https://www.artic.edu/iiif/2/83802ee1-1682-6de0-7276-37c4ab3fa879/full/843,/0/default.jpg","https://www.artic.edu/iiif/2/83802ee1-1682-6de0-7276-37c4ab3fa879/full/843,/0/default.jpg",,,,,,chicago,,,FALSE,backend/images/USA/children_artwork/Elizabeth_Grant_Bankson_Beatty_Mrs_James_Beatty_and_Her_Daughter_Susan.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,
American,USA,United States,USA,Lilly Martin Spencer,https://en.wikipedia.org/wiki/Lilly_Martin_Spencer,This Little Pig Went to Market,Keep,,"https://www.artic.edu/iiif/2/b05d86ee-ecc4-c28c-3df3-0c2d65b6b1cb/full/843,/0/default.jpg","https://www.artic.edu/iiif/2/b05d86ee-ecc4-c28c-3df3-0c2d65b6b1cb/full/843,/0/default.jpg",,,,,,chicago,,,FALSE,backend/images/USA/children_artwork/This_Little_Pig_Went_to_Market.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,
American,USA,United States,USA,Charles Willson Peale,https://en.wikipedia.org/wiki/Charles_Willson_Peale,"Mrs. John Nicholson (Hannah Duncan) and John Nicholson, Jr.",Keep,,"https://www.artic.edu/iiif/2/de8b304b-8250-78cf-dfa2-5f91458b78f9/full/843,/0/default.jpg","https://www.artic.edu/iiif/2/de8b304b-8250-78cf-dfa2-5f91458b78f9/full/843,/0/default.jpg",,,,,,chicago,,,FALSE,backend/images/USA/children_artwork/Mrs_John_Nicholson_Hannah_Duncan_and_John_Nicholson_Jr.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Albania,ALB,,,,No,,https://live.staticflickr.com/1284/4668751141_f04a09b65a_b.jpg,https://www.flickr.com/photos/library_of_congress/4668751141/in/photolist-5JL8xD-HPfb6u-5bv8GS-5AGqCT-8Gko6v-GWyE1e-8GoADw-7XoAh3-87yz4k-HSeAT8-8BF3Rc-7XkkYK-HSeWeT-k5H3Ws-gLcL8B-7ubpbo-7kuxfs-2fYYCcr-7ubpem-7VEdJz-5bqQRn-7XroYE-2rjiboP,,,,,,Flickr Commons,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Barbados,BRB,,,,Yes,,https://live.staticflickr.com/8454/8022855372_26e8b4afe1_b.jpg,https://www.flickr.com/photos/nationalarchives/8022855372/in/photolist-ddXeoC-ddXpjB-9VxJgB-7WwDub-6Ey5XG-2jRjMbB-ddXdXx-ddXdUR-ddXpe2-DPeCPZ-ddXmFb-ddXmu5-ddXpCq-ddXdPk-ddXdkX-ddXefy-ddXedo-ddXcZw-ddXjsC-ddXbSz-czTKUq-7VyJWP-ddXjRQ-czTN3U-ddXdFc-ddXduH-czUHRL-ddXiG8-ddXdQE-czV6xJ-ddXiY7-ddXjqJ-ddXqug-ddXbUx-omDABJ-czTMn1-czTMcY-czTMwQ-czTM8j-czTMBU-ddXdrr-czTMU1-ddXemY-ddXbT5-ddXqiz-7VBUr3-ddXcFj-ddXe7T-7WsRKP-czTLd9,,,,,,Flickr Commons,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Bolivia,BOL,,,,No,,https://live.staticflickr.com/65535/49667146222_ecd44768be_b.jpg,https://www.flickr.com/photos/sdasmarchives/49667146222/in/photolist-8xkEiX-8xoHWS-fq17xs-Gv4HcT-Aexnup-eaBtw9-4jyodF-4jCqKy-n99d76-2iEV7ch-HPeRYN-9Cznf8-HPebUW-9CCd5m-9CCgWC-9Czo3M-HPe8aw-n99ddt-Qwsrp8-Qwssxv-29XHx1N-2ed9F73-fZNq8D-2hU2nYw-fZNwxJ-fZNQK2-fZNQvz-MfNp69-7Nkrqx-2qFCTcD-2qFCTcP-6riVuj-bvrFVf-2qFCTda-6nxVyi-7Ztoky-7Ztom9-7Ztomj-c7LGbs-2qFE8bf-7XiFue-7XmUX9-7XiFux-7XmUWW-2qFE88e-2qFE8bk-2qFE8VT-2qFE8UF-2q7KqcW-2pXo7na,,,,,,Flickr Commons,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Cameroon,CMR,,,,No,,https://live.staticflickr.com/5298/5418208061_2c79bdc932.jpg,https://www.flickr.com/photos/nationalarchives/5418208061/in/photolist-TrzCsW-22ZRVPy-fq1aEW-HHsrh9-HKSyv6-GWwYvK-9fzULB-9fQQ55-9fMLg4-9fMMm4-9fQRFs-9fMJun-9fQQBs-9fQR6L-9fQUoY-9fQQjY-9fQQpS-9fQTbh-9fQRvu-9fMJer-9fMP2e-9fMJY2-9fMNeK-9fQUeh-9fMMYx-9fMKEr-9fMNqn-9fQTFU-9fQR1m-9fQT59-9fQTXs-9fMN9a-9fMNv2-9fQUjN-9fMMCP-9fQUtj-9fQRqJ-2qriQVK,,,,,,Flickr Commons,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Democratic Republic of the Congo,COD,,,,No,,https://live.staticflickr.com/591/32008147920_aee088289d_b.jpg,https://www.flickr.com/photos/liberas/32008147920/in/photolist-RkP97B-RmpQw2-NgAWzt-R5WmXQ-22ZRVPy-PuX2dc-XaXdFR-ZisAqE-R7BYzY-PrKSRd-Q12oDL-QLs8ej-Q12oHo-R4bqrh-Y9dYD3-QHbfvU-PrR3rA-XaCKSM-RabQk2-Y9dYBQ-Zk25dQ-Q7eYiD-R4bqDG-PrKS2s-PjV3gV-RtBmdC-NfokJ7-CgG541-PCiPLS-QHbftj-bAb9k1-RjdgtB-22nVTmJ-HHtfc1-dxqbdr-6DB7zd-HHssFS-Nqfpre-nZtBjk-nZtH72-oiGB9H-bxXqbE-ogWRCi-nZtuiB-nZsf4D-CgG55U-9dPabh-diPrR7-2qPgZhi-2qPgZJa,,,,,,Flickr Commons,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Cuba,CUB,,,,Mid,,https://live.staticflickr.com/8675/28772421702_02bdd5d74f_b.jpg,https://www.flickr.com/photos/north-carolina-state-archives/28772421702/in/photolist-KQwbyf-K4ekgG-KQwbzh-KQwbyq-K4ekdf-ojNM4R-6axeqn-2rwrKnj-ZLHgGS-evsYaK-dpxoiL-FZkJcX-ZxjvTb-253aCTN-79umtV-ZvT3SN-a3E3iv-5PfFpo-4i9tXB-CtRp3g-2qxF6jn-26xQHWv-dqW2SC-oDmdHx-2qqMB8U-ZvT3UG-WBUALQ-zWMJzf-dQoGgy-2qqLhKr-5hepbG-czhKFs-bBph9i-ZLHgF9-ZLHgE7-a3DYT4-a3GzNU-26NW2Cb-2qqNCFJ-ZxjvTG-p6kFoB-2qqMB8y-2qqLhJK-vLj5tH-K4enys-dLsUsR-4idzqm-ZJJhno-2qqLhJp-ZxjvUo,,,,,,Flickr Commons,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Ethiopia,ETH,,,,No,,https://live.staticflickr.com/4585/38236862156_dfe2f7be5a_z.jpg,https://www.flickr.com/photos/mennonitechurchusa-archives/38236862156/in/photolist-21fRUY5-BPnzKx-Bo9gjt-Bo9etV-BPnAi6-AZ5dfJ-BUhkuU-BLZtqA-BPnAXc-Bo597a-DcYLf7-BLZuxL-AZ8WEs-BPn3Yc-dGV6Av-dGV6DF-mdDwnm-9GE5kr-6t96e1-zH2x6X-qiDXs8-4jyAwM-71WWE3-8GH4PY-71WWAh-71SCFx-7mcSJq-71SCBx-24GuQJy-71WDxG-71WWzo-71SCC2-71SCn8-2q9zSSN-2nTnmXQ-71WDnA-G8mruH-71WD6C-71SCHx-2qFoNow-71WDqJ-2qFnyYp-71WDgN-71SCJD-71WDmm-71WDaN-71WDvS-71SCAH-71SCqz-71SCJa,,,,,,Flickr Commons,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Grenada,GRD,,,,No,,https://live.staticflickr.com/8168/7629648734_a0e2909011_z.jpg,https://www.flickr.com/photos/nationalarchives/7629648734/in/photolist-cCcWKQ-cCcji9-cCcjuA-cCcz27-cCcjpW-m9K9fg-cCcAtC-cCciwy-cCcyVG-cCcz8C-cCcWoU-cCcyQ1-cCcWwG-cCcWQG-cCcRfs-cCcR1b-cCczSW-cCcAzo-cCcAej-cCcAob-cCcXKE-cCcAHm-cCcRaN-cCcQtd-cCcANS-cCcBNd-cCcQno-cCcBuf-cCczA7-cCcQww-cCcBDL-cCcBoE-cCcBa1-cCcB27-cCcRBW-cCcPoL-cCcQFU-cCcXAs-cCcQVw-cCcAW9-cCcBgE-cCcBVW-cCcWsU-cCcXR3-cCcYmC-cCcCzC-cCcCg3-cCcCms-cCcR5d-cCcXr5,,,,,,Flickr Commons,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Guatemala,GTM,,,,No,,https://live.staticflickr.com/2820/8757862130_4485833f5c_z.jpg,https://www.flickr.com/photos/floridamemory/8757862130/in/photolist-ZPsZVK-ioPMzi-bqmYqG-2ozV2wb-ekNChk-2nB5HES-4i9bG6-2gd1GPF-BZEtpV-2oG5yWj-ekUkhW-fCmgj8-c8vTMS-2hauDKv-iT4ssK-cv3oZ7-6cmm3u-iT55FY-2hG849b-iT4p88-fCmgH6-e5fQqE-aSNaET-7ZD97s-66VQFc-eaMJfN-cv3oW9-9EkBeA-o7ichY-9EhGye-9EkMqC-9EhSzV-2pLbU23-2pQdB1b-2qmpYYU,,,,,,Flickr Commons,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Guyana,GUY,,,,No,,https://live.staticflickr.com/8152/7629717094_e954a8140a_b.jpg,https://www.flickr.com/photos/nationalarchives/7629717094/in/photolist-dhZUsR-dhZTBq-cCdhZ5-cCdi5s-cCdieW-DPeCPZ-cCinQd-7x8byT-cCio6q-cCdia7-cCdimo-cChNuU-cCdivJ-cCdhPW-cCdisd-cCdiHy-cCdmP5-cCdiAs-cCdiPN-cCdj4G-cCdjdU-cCdiTG-cCdjCS-cCdiZW-cCdj8W-cCdjo7-cCdjK3-cCdkY3-cCdjyL-cCdm8h-cCdk3u-cCdjRm-cCdkfL-cCdhJh-cCdjWS-cCdk9E-cCdkjY-cCdkCQ-cCdkoW-cCdm3j-cCdksQ-cCdFxw-cCdkyC-cCibwA-cCdkSj-cCdmcN-cCdmid-cCinF9-cCdkNw-cCdmnf,,,,,,Flickr Commons,But interesting,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Haiti,HTI,,,,No,,https://live.staticflickr.com/5602/15032092144_8a834a570c_b.jpg,https://www.flickr.com/photos/smithsonian/15032092144/in/photolist-oUkphu-pP6nvq-pRg88w-4jyAwM-pRbUv8-pQXa5n-AcCS89-pRbUBk-6MoRmK-pRg7WQ-pRg7L9-pQXa9v-6Mt3Ty-7friTf-8nN5Bn-oUkpoS-rrDRz2-6Mt3Xy-pyJSjW-oUouk8-6Mt3UC-pyGjJM-dCXgqv-6MoRoT-6Mt3UN-7fnryH-6chct4-6MsZiU-6MsZiu-7friV5-6Mt3R1-7fnryZ-7fnrta-257kZTC-7fnru4-pRg7Y3-6MoRj2-6Mt3Q1-9v2vhD-6MoRpH-2qqE5Hh-oUoupM-oUouoK-6MoMHH-6MsZhY-vpFy3H-9v2vbR-6MoMHn-6Mt3P5-6MsZg7,,,,,,Flickr Commons,But interesting,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Iceland,ISL,,,,Yes,,https://live.staticflickr.com/3234/4558904682_85d271074f_b.jpg,https://www.flickr.com/photos/cornelluniversitylibrary/4558904682/in/photolist-W5VTDd-EGxAJC-7WRzwS-7WNj6X-bs8yMJ-7WRDYh-ccBuuf-7WNsyn-bvnFi1-aFa8SM-bF3ngD-8kzeDs-E2hkv6-7WN7HD-7WN5JV-E2RWMq-cLDu5C-dW8PSJ-gHGPof-duQQWq-gHH4bN-dkGCFp-7WRyvw-2oMVK4Y-7WN7ie-WFYtXQ-dW3qve-daC2as-7WRPpG-7WRN4J-7WRH5h-7WNtNn-7WNxEv-7WNwcF-7WNAjX-7WRP8d-7WNAgc-cZCr7L-7WN35k-7WRNBm-7WRNb3-7WRkGC-bA8y6q-7WRMPL-8n2s4u-7WNrVc-7WRAfA-7WNj4g-7WRKB7-7WRDJC,,,,,,Flickr Commons,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Indonesia,IDN,,,,Yes,,https://live.staticflickr.com/1417/4600959282_48dc8d5ea0_b.jpg,https://www.flickr.com/photos/nationaalarchief/4600959282/in/photolist-81z7Ub-BamgWC-BbvMvg-AeE6FX-81pr2c-2oFPFww-AeEi3p-AxAoit-Baicfu-BcxxA8-AxzpFw-AzTQQ2-AxwQsa-Aew711-BbyuGk-81sAiw-2oFRfyv-Bcuirc-ake3oG-cHnexj-AeB9z8-B9ftqm-AxwPHz-81sAoA-B9fcSh-5uxtaB-2oFPFxJ-2hGXhZC-23oYc3t-22jmZym-Fgc6MA-2hGZq1f-AeED5t-81pr5K-2oFKRJ6-cHnepu-JsbtMR-23oYczk-2oFQURM-Fgc6NN-Jsbttz-AewGjm-78HCrV-2hH252Q-Fgc2oW-66AzTR-AxsDTH-2hH1i48-2hGYHVA-2oFKRCQ,,,,,,Flickr Commons,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Iran,IRN,,,,Yes,,https://live.staticflickr.com/8088/8512884088_2d96a2bac1_b.jpg,https://www.flickr.com/photos/nationalarchives/8512884088/in/album-72157632872510272,,,,,,Flickr Commons,But do like,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Iraq,IRQ,,,,Yes,,https://live.staticflickr.com/7235/7304642366_4038d05358_b.jpg,https://www.flickr.com/photos/sdasmarchives/7304642366/in/photolist-c8ucFL-c8ur7f-CB2oPv-nQ8y8R-9V86Yn-9Z8pW9-nNbnNY-7jLZof-7jLZmW-c8ucKf-c8u4ih-c8uiqC-c8us7w-c8tRvA-vMUDRk-c8tSJj-c8tU1j-c8tRcC-c8uknf-c8uknm-c8ukg9-c8ukpL-c8uk79-c8ukg5-c8ujWj-c8uk7h-c8ujWh-c8tPHh-7jLZhs-uns77d-M5UoPS-upNu1a-u8da1f-tsLVsA-c8tNJh-H3oAnb-c8uizu-untuUq-tsX7Yv-c8ukeu-upZFJK-c8undo-c8u63q-c8u9V1-c8uqRd-c8upTS-c8u6dq-c8tV9N-c8u64f-c8u5JC,,,,,,Flickr Commons,But do like,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Israel,ISR,,,,Yes,,https://live.staticflickr.com/8226/8531243162_3e72a3d719_b.jpg,https://www.flickr.com/photos/nationalarchives/8531243162/in/album-72157632852167515,,,,,,Flickr Commons,But do like,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Jamaica,JAM,,,,No,,https://live.staticflickr.com/2928/34027938972_75bab853e6_b.jpg,https://www.flickr.com/photos/library_of_congress/34027938972/in/photolist-TQW5JY-AfRmv3-TQW5pj-2p9JbNQ-6WYN8U-m9XgKU-6WUN6a-6WYNNG-oGFstQ-794gcL-6WYSBs-m9UWwC-2nB5DT1-4T9B5H-6WYQVs-wgtxSi-2kZLK7T-6WUP7n-6WUUsx-6WUUgi-6WYSLJ-6WUSqX-6WYNAE-6WYNF9-6WURQg-4G4Wag-6WYQjY-6WYRSG-eDzLM8-6WYU3U-bXctfP-m9Smbh-6WYP4j-6WYNBW-6fPHfB-m9LZyW-6WYSoN-6WUUtk-6WYPbo-2mzFjSW-6WUUkH-6WYU2s-6WYTDq-6WUPrB-6WYR6b-6WYTXS-m9LCge-6MoRmK-6WUTTP-6WYTe1,,,,,,Flickr Commons,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Jordan,JOR,,,,,,https://live.staticflickr.com/8383/8510059992_2489b0dd27_z.jpg,https://www.flickr.com/photos/nationalarchives/8510059992/in/album-72157632864035338,,,,,,Flickr Commons,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Kenya,KEN,,,,,,https://live.staticflickr.com/3485/3948871142_ba7aed1313_z.jpg,https://www.flickr.com/photos/field_museum_library/3948871142/in/photolist-71WZPd-71SpTZ-cubwvU-71SpZF-71WqTU-9ezgjD-71SpZM-71SpX6-71SpSk-71WqWN-71WqZf-DH5f5Z-71WZPj-71WqZj-DEGwfm-23bskz4-9eAbwt-CDWfg1-71SpXT-71SpXn-71WqVq-71SpZv-71WqV1-71WqZU-DaksLN-9ezbK4-71SpWz-9eDf8Q-71Sq1e-71Sq1F-D3XYCk-bK3kFT-21ML6A7-DBqcfX-CE1weK-Dz7usb-Daio9A-Dtb3hD-9ezdGk-Dr18GE-CDZBE6-9ezhfZ-9eC1GG-9eDiV3-9eA9ze-9eCk5G-9ezeDM-9eAdJp-9eAdqB-9eDkbm,,,,,,Flickr Commons,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Kenya,KEN,,,,,,https://live.staticflickr.com/5017/5404436779_4b03c6c3c3_b.jpg,https://www.flickr.com/photos/nationalarchives/5404436779/in/photolist-9ez9Lt-9eSJyU-9eScNY-9eF9DE-9eCaTj-9eCaui-9eCit6-9eEPQo-9eFhns-9eCbQZ-9eCcuF-9ez3QV-9eP47X-9eCiZr-9eCcaK-9eP3ST-9eFjX9-9eSQRe-9eC7J4-9eyFbk-9eCbyZ-9eNRYM-9eVHTm-9eFjoy-9eRYfu-9eCgwZ-9eFkzY-9eS84q-9eCd8e-9eNWQX-9eFmK7-9eSR9D-9eSajj-9eF9Ub-9eNXea-9eSRnB-9eFbp7-9eCh1z-9eCg18-9eVXZw-9eRWTY-9eNLT4-9eCggn-9eNLea-9eSPRX-9eSzaa-9eCiJM-9eSeFo-9eNMdg-9eCefZ,,,,,,Flickr Commons,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Kiribati,KIR,,,,,,https://live.staticflickr.com/8485/8188736642_fdf468f0af_z.jpg,https://www.flickr.com/photos/nationalarchives/8188736642/in/album-72157632014397435,,,,,,Flickr Commons,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Lesotho,LSO,,,,,,https://live.staticflickr.com/5253/5407972689_8727c63579_z.jpg,https://www.flickr.com/photos/nationalarchives/5407972689/in/photolist-9eW819-9eTgSr-6YUrVH-9eW8DN-9eT1rK,,,,,,Flickr Commons,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Libya,LBY,,,,Mid,,https://live.staticflickr.com/2249/2163446486_a603b7fc2a_b.jpg,https://www.flickr.com/photos/library_of_congress/2163446486/in/photolist-2pDmqLM-AgyS5e-8B4oaH-A3NW4S-AgyPQe-hFExsz-hFDiaF-hFEafj-Adijrh-hFDh6r-2hVKkrN-4ibegu-4i8WTa-AgyRkD-4id3Hq-2ovrkE6-4icZNy-YUQ4ff-4i8WKH-9fMrCg-2ovqrj6-hFDBZf-4id49G-4icQj3-4i8JgZ-4id3V7-BbptkB-4id4hf-4i8WER-4i8XoH-4icVPm-4i8WZ6-2m1zuxY-2m1DsiY-4icPPA-4i8D1Z-4i8J8X-4i8Tzr-9fQvu1-4i8TNM-4i8PBx-4i8PLZ-9fMr1T-9fQtK1-4icQPy-4icZK1-9fMp8e-2p8ZMj1-2pnMazQ-2rjH9ia,,,,,,Flickr Commons,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Lithuania,LTU,,,,,,https://live.staticflickr.com/8219/8401436018_55ce961a30_z.jpg,https://www.flickr.com/photos/anmm_thecommons/8401436018/in/photolist-dNiWTn-dNj1Sx-dNpye9-dNj5ei-KzEreJ-dwvDtn-tsLtXh-pbvJcL-d8KSaE-2mLyRZq-dNiSup-ejUByx-dNiUUk-oZYbXN-dNiKfB-oKvPGQ-upMart-4TePs5-hKzmQu-BYiULL-4Sa8bs-H5agCq-BmrGvQ-oZYbXh-rWdKNg-ceFvTL,,,,,,Flickr Commons,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Luxembourg,LUX,,,,,,https://live.staticflickr.com/8200/8190447325_a2d2801f27_b.jpg,https://www.flickr.com/photos/library_of_congress/8190447325/in/photolist-7zV4Ja-9GGWP9-6j3rcH-PA31dg-77V8UH-cS7KZQ-2jgtxhR-9GGUjW-dvCmd5-dtLbD4-9GGTho-eaMHP3-2gXT7wC-2i1dRXN-21BFnTs-oYC6kJ-bNnaJz-2ciuLpr-2ciuLmv-2gXTUsb-2gXTUqc-2gXT7xQ-2gXTUqN-2gXTUpF,,,,,,Flickr Commons,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
