id,object_id,iso3,country_name,title,artist_name,object_date,medium,department,culture,object_url,image_url,filepath,json_file
16,310765,MLI,Mali,Priest with raised arms,Dogon blacksmith,14th–17th century,"Wood, applied organic materials",The Michael C. Rockefeller Wing,Dogon,https://www.metmuseum.org/art/collection/search/310765,,images/MLI/met/310765.jpg,data/met_json/310765.json
17,268882,MLT,Malta,"[Strada Levante, Valletta, Malta]",Calvert Richard Jones,1850s,Salted paper print from paper negative,Photographs,,https://www.metmuseum.org/art/collection/search/268882,,images/MLT/met/268882.jpg,data/met_json/268882.json
18,501419,MHL,Marshall Islands,Aje,,late 19th century,"Wood, cord, skin",Musical Instruments,Micronesian (Marshall Islands),https://www.metmuseum.org/art/collection/search/501419,,images/MHL/met/501419.jpg,data/met_json/501419.json
19,501419,FSM,Micronesia (Federated States of),Aje,,late 19th century,"Wood, cord, skin",Musical Instruments,Micronesian (Marshall Islands),https://www.metmuseum.org/art/collection/search/501419,,images/FSM/met/501419.jpg,data/met_json/501419.json
20,292003,MSR,Montserrat,"Monserrat, Vista general de la montaña desde Monistrol",Charles Clifford,1860,Albumen silver print from glass negative,Photographs,,https://www.metmuseum.org/art/collection/search/292003,,images/MSR/met/292003.jpg,data/met_json/292003.json
21,39116,MMR,Myanmar,"Seated Amitāyus, the Buddha of Eternal Life",,ca. 11th–12th century,Bronze,Asian Art,Burma,https://www.metmuseum.org/art/collection/search/39116,,images/MMR/met/39116.jpg,data/met_json/39116.json
22,50799,NPL,Nepal,"Tara, the Buddhist Savior",,14th century,Gilt copper alloy with color and semiprecious stone inlay,Asian Art,"Nepal, Kathmandu Valley",https://www.metmuseum.org/art/collection/search/50799,,images/NPL/met/50799.jpg,data/met_json/50799.json
23,312290,NGA,Nigeria,Ùhúnmwèlaò (head of an ọ́bà),Ìgùn Ẹ́rọ̀nwwọ̀n (brass-casting guild) artists,Early 15th–mid-16th century,Brass,The Michael C. Rockefeller Wing,Edo,https://www.metmuseum.org/art/collection/search/312290,,images/NGA/met/312290.jpg,data/met_json/312290.json
24,451068,OMN,Oman,"Earring, One of a Pair",,19- 20th century,Gold wire with filigree,Islamic Art,,https://www.metmuseum.org/art/collection/search/451068,,images/OMN/met/451068.jpg,data/met_json/451068.json
25,38498,PAK,Pakistan,Door Guardian (Dvarapala),,ca. 4th century,Stucco,Asian Art,Pakistan (ancient region of Gandhara),https://www.metmuseum.org/art/collection/search/38498,,images/PAK/met/38498.jpg,data/met_json/38498.json
26,309419,PAN,Panama,Double-Bat-Head Figure Pendant,,12th–14th century,"Gold, greenstone",The Michael C. Rockefeller Wing,Coclé (Parita),https://www.metmuseum.org/art/collection/search/309419,,images/PAN/met/309419.jpg,data/met_json/309419.json
27,311294,PNG,Papua New Guinea,House-post Figure,,19th century,"Wood, paint, fiber",The Michael C. Rockefeller Wing,Kambot people,https://www.metmuseum.org/art/collection/search/311294,,images/PNG/met/311294.jpg,data/met_json/311294.json
28,215300,PRY,Paraguay,Collar,,19th century,"Silk, embroidered net",The American Wing,Paraguayan,https://www.metmuseum.org/art/collection/search/215300,,images/PRY/met/215300.jpg,data/met_json/215300.json
29,503200,PHL,Philippines,Dadabuan,,19th century,"Wood, mother-of-pearl, skin",Musical Instruments,Philippine (Mindanao),https://www.metmuseum.org/art/collection/search/503200,,images/PHL/met/503200.jpg,data/met_json/503200.json
30,841261,PRT,Portugal,Round dish with fighting lizard and snake,Manuel Mafra,1865–87,Glazed earthenware,European Sculpture and Decorative Arts,,https://www.metmuseum.org/art/collection/search/841261,,images/PRT/met/841261.jpg,data/met_json/841261.json
31,231084,MDA,Republic of Moldova,Ewer and basin (lavabo set),Chisinau Court Workshop,ca. 1680–85,"Silver, partially gilded",European Sculpture and Decorative Arts,,https://www.metmuseum.org/art/collection/search/231084,,images/MDA/met/231084.jpg,data/met_json/231084.json
32,316442,SLE,Sierra Leone,Lidded saltcellar,Temne or Bullom artist(s),ca. 1490–1530,Ivory,The Michael C. Rockefeller Wing,Temne or Bullom,https://www.metmuseum.org/art/collection/search/316442,,images/SLE/met/316442.jpg,data/met_json/316442.json
33,764797,SGP,Singapore,"[Studio Portrait: Woman Seated Beside a Table, Singapore]",G. R. Lambert & Co.,1870s,Albumen silver print,Photographs,,https://www.metmuseum.org/art/collection/search/764797,,images/SGP/met/764797.jpg,data/met_json/764797.json
34,159418,SVK,Slovakia,Ensemble,,1840–80,"wool, cotton, silk",European Sculpture and Decorative Arts,,https://www.metmuseum.org/art/collection/search/159418,,images/SVK/met/159418.jpg,data/met_json/159418.json
35,762069,SLB,Solomon Islands,Shark Reliquary,,ca. 1900,"Wood, shell, pigment",The Michael C. Rockefeller Wing,Solomon Islands,https://www.metmuseum.org/art/collection/search/762069,,images/SLB/met/762069.jpg,data/met_json/762069.json
36,309909,SSD,South Sudan,Ngya (commemorative post),Bongo artist,late 19th century,Mahogany,The Michael C. Rockefeller Wing,Bongo,https://www.metmuseum.org/art/collection/search/309909,,images/SSD/met/309909.jpg,data/met_json/309909.json
37,889442,LKA,Sri Lanka,Jewel casket,,mid-17th century,"Ivory with silver gilt mounts, gilded metal lining, finial with garnet in gold setting",Asian Art,"Sri Lanka, Kandy",https://www.metmuseum.org/art/collection/search/889442,,images/LKA/met/889442.jpg,data/met_json/889442.json
38,316784,SDN,Sudan,Jibba (tunic),Mahdist artist,1881–98,"Cotton, wool, dye",The Michael C. Rockefeller Wing,Mahdist peoples,https://www.metmuseum.org/art/collection/search/316784,,images/SDN/met/316784.jpg,data/met_json/316784.json
39,329076,TJK,Tajikistan,"Shaft-hole axe head with bird-headed demon, boar, and dragon",,ca. late 3rd–early 2nd millennium BCE,"Silver, gold foil",Ancient West Asian Art,Bactria-Margiana Archaeological Complex,https://www.metmuseum.org/art/collection/search/329076,,images/TJK/met/329076.jpg,data/met_json/329076.json
40,39112,THA,Thailand,Seated Buddha,,late 15th–16th century,Bronze,Asian Art,Thailand,https://www.metmuseum.org/art/collection/search/39112,,images/THA/met/39112.jpg,data/met_json/39112.json
41,502064,TLS,Timor-Leste,Sesando,,late 19th century,"Bamboo, teak wood, palm (Borassus flabellifera), wire",Musical Instruments,Javanese (Timorese),https://www.metmuseum.org/art/collection/search/502064,,images/TLS/met/502064.jpg,data/met_json/502064.json
42,313658,TON,Tonga,Female figure (’otua fefine),,Early 19th century,Whale ivory,The Michael C. Rockefeller Wing,Ha'apai Islands,https://www.metmuseum.org/art/collection/search/313658,,images/TON/met/313658.jpg,data/met_json/313658.json
43,453840,TKM,Turkmenistan,Robe (Chyrpy),,first half 19th century or earlier,Silk; embroidered in silk thread; cotton lining,Islamic Art,,https://www.metmuseum.org/art/collection/search/453840,,images/TKM/met/453840.jpg,data/met_json/453840.json
44,502219,UGA,Uganda,Ennanga (harp),,19th century,"Wood, skin, gut strings, parchment",Musical Instruments,Ugandan,https://www.metmuseum.org/art/collection/search/502219,,images/UGA/met/502219.jpg,data/met_json/502219.json
45,502222,TZA,United Republic of Tanzania,Quwaytara,,late 19th century,"Gourd, ivory, wood, gut strings",Musical Instruments,Tanzanian,https://www.metmuseum.org/art/collection/search/502222,,images/TZA/met/502222.jpg,data/met_json/502222.json
46,764772,URY,Uruguay,[Photo Collage: Man Drawing Bust],Juan Pedro Chabalgoity,ca. 1875,"Albumen silver prints, lithographs",Photographs,,https://www.metmuseum.org/art/collection/search/764772,,images/URY/met/764772.jpg,data/met_json/764772.json
47,85552,UZB,Uzbekistan,Kaftan,,19th century,"Silk, metal wrapped thread; embroidered",Islamic Art,,https://www.metmuseum.org/art/collection/search/85552,,images/UZB/met/85552.jpg,data/met_json/85552.json
48,37558,VNM,Viet Nam,Ewer in the Form of a Phoenix,,ca. 15th–16th century,Stoneware with underglaze cobalt blue decoration,Asian Art,Vietnam,https://www.metmuseum.org/art/collection/search/37558,,images/VNM/met/37558.jpg,data/met_json/37558.json
49,444663,YEM,Yemen,Necklace,,19th century,Silver,Islamic Art,,https://www.metmuseum.org/art/collection/search/444663,,images/YEM/met/444663.jpg,data/met_json/444663.json
